3,28,1
2,9,0
2,5,0
2,10,1
9,14,1
3,6,0
11,26,1
3,11,1
24,5,0
1,17,0
1,2,0
37,10,1
47,0,0
12,3,0
1,2,0
1,0,0
1,6,0
1,27,0
1,1,0
1,2,0
15,13,1
1,11,0
1,0,0
2,7,0
1,1,0
59,16,1
20,1,0
37,75,1
2,0,0
20,9,1
1,1,0
3,7,1
37,4,1
2,0,0
63,1,0
64,3,0
65,1,0
66,0,0
37,29,0
37,42,0
67,1,0
37,0,0
37,21,1
83,27,0
93,1,0
107,1,0
107,1,0
107,1,0
107,1,0
107,1,0
107,1,0
109,6,1
107,8,0
107,3,0
107,1,0
107,2,0
107,2,0
107,3,0
107,23,0
107,3,0
107,3,0
107,1,0
121,1,0
1,3,0
136,0,0
133,2,0
1,0,0
11,5,0
113,6,0
1,13,0
189,7,0
37,7,0
46,4,0
181,9,0
2,3,0
196,2,0
41,0,0
67,1,0
109,4,0
3,20,1
75,6,0
15,4,0
207,2,0
216,0,0
212,2,0
218,0,0
71,3,0
213,17,1
219,0,0
220,1,0
212,3,1
214,1,0
217,38,1
46,0,0
1,1,0
1,32,0
159,2,0
5,1,0
71,13,1
71,0,0
71,0,0
226,0,0
226,0,0
226,0,0
226,0,0
226,0,0
75,13,1
226,0,0
226,0,0
223,6,1
222,2,0
225,0,0
226,0,0
224,3,0
226,0,0
228,2,0
229,50,1
228,6,1
2,12,1
181,5,0
75,3,0
1,3,0
75,24,0
37,40,1
169,33,1
75,39,1
75,18,1
169,13,1
244,2,1
75,1,0
75,3,1
239,9,0
3,22,1
3,112,1
189,5,0
75,4,0
223,4,0
265,13,1
265,11,1
265,1,0
265,0,0
265,1,0
265,3,0
223,4,0
272,7,0
67,0,0
67,0,0
243,9,1
239,4,1
3,1,0
227,0,0
227,4,0
83,3,0
1,1,0
287,0,0
288,2,0
293,1,0
225,7,1
11,10,1
287,0,0
67,0,0
227,0,0
67,0,0
296,26,1
227,0,0
55,15,1
287,0,0
287,0,0
45,9,1
296,19,1
55,2,1
1,1,0
287,0,0
3,3,0
322,9,1
239,5,1
307,3,0
2,2,0
2,1,0
345,5,0
1,1,0
296,4,0
239,15,1
353,1,0
354,0,0
357,0,0
288,4,1
67,0,0
67,0,0
239,3,0
368,0,0
368,0,0
366,0,0
366,0,0
1,0,0
367,18,1
1,1,0
357,1,0
1,2,0
371,1,0
67,0,0
213,0,0
1,9,1
239,11,1
84,0,0
379,5,0
384,2,0
384,1,0
2,9,0
12,1,0
3,1,0
83,1,0
400,0,0
400,0,0
407,0,0
401,13,1
402,1,1
404,0,0
407,1,0
410,0,0
406,5,1
37,4,0
239,15,1
181,0,0
413,2,0
413,0,0
113,3,0
415,0,0
265,3,0
239,3,0
1,0,0
1,1,0
109,14,1
428,5,1
1,0,0
2,0,0
1,0,0
1,2,0
2,10,0
239,4,1
189,5,0
239,31,1
52,0,0
396,3,0
428,2,0
443,4,1
3,0,0
239,3,1
443,0,0
450,0,0
451,0,0
451,0,0
451,0,0
453,0,0
450,0,0
4,0,0
55,1,0
2,8,0
